Player,Team,DYAR,RK,YAR,RK,DVOA,RK,VOA,PASSES,YARDS,Eyds,Catch_Rate,FUM,DPI
T.Lockett,SEA,464,1,458,2,66.30%,1,65.40%,70,965,"1,162",10,81%,1
D.Hopkins,HOU,455,2,433,3,22.60%,10,20.90%,163,"1,572","1,723",11,71%,2
M.Thomas,NO,442,3,473,1,23.10%,9,25.60%,147,"1,405","1,658",9,85%,2
M.Evans,TB,412,4,410,5,25.20%,3,25.00%,139,"1,524","1,492",8,62%,1
T.Hill,KC,387,5,356,7,23.80%,6,20.90%,137,"1,479","1,434",12,64%,0
J.Jones,ATL,382,6,416,4,15.90%,17,18.50%,170,"1,677","1,651",8,66%,2
T.Y.Hilton,IND,359,7,386,6,23.40%,8,26.10%,120,"1,270","1,339",6,63%,0
A.Thielen,MIN,341,8,335,8,15.20%,19,14.80%,153,"1,373","1,497",9,74%,1
K.Allen,LAC,320,9,296,12,18.10%,15,15.70%,136,"1,196","1,320",6,71%,1
B.Cooks,LAR,318,10,313,9,21.50%,12,21.00%,117,"1,205","1,227",5,68%,1
R.Woods,LAR,316,11,301,11,17.50%,16,16.10%,130,"1,219","1,319",6,66%,0
T.Boyd,CIN,305,12,310,10,24.10%,4,24.70%,108,"1,028","1,125",7,70%,0
M.Williams,LAC,262,13,246,15,39.20%,2,36.10%,66,664,797,10,65%,0
A.Jeffery,PHI,251,14,270,13,21.10%,13,23.60%,92,840,977,6,71%,1
K.Golladay,DET,250,15,225,16,13.30%,21,10.70%,119,"1,063","1,150",5,59%,1
D.Adams,GB,246,16,264,14,6.10%,30,7.40%,169,"1,386","1,432",13,66%,0
J.Smith-Schuster,PIT,235,17,195,19,4.40%,34,1.50%,167,"1,426","1,465",7,67%,1
J.Gordon,2TM,193,18,195,18,20.40%,14,20.70%,71,737,762,4,58%,0
A.Brown,PIT,191,19,137,29,1.70%,41,-2.30%,168,"1,297","1,365",15,62%,0
A.Cooper,2TM,187,20,196,17,8.70%,27,9.80%,107,"1,005",989,7,70%,2
C.Ridley,ATL,167,21,175,20,10.20%,26,11.30%,92,821,840,10,70%,2
S.Watkins,KC,161,22,147,26,24.10%,5,20.80%,55,519,596,3,73%,0
C.Kupp,LAR,158,23,154,23,23.80%,7,22.80%,55,566,586,6,73%,0
A.J.Green,CIN,155,24,145,27,12.40%,23,10.90%,77,694,732,6,60%,2
D.Jackson,TB,153,25,147,25,12.20%,25,11.30%,74,774,724,4,55%,0
A.Humphries,TB,152,26,154,21,6.70%,28,6.90%,105,816,857,5,72%,0
O.Beckham,NYG,151,27,154,22,2.50%,37,2.80%,124,"1,052","1,036",6,62%,0
R.Higgins,CLE,143,28,142,28,22.30%,11,22.20%,53,572,543,4,74%,2
M.Jones,DET,142,29,134,30,15.70%,18,14.10%,62,508,617,5,56%,0
M.Sanu,ATL,141,30,154,24,6.40%,29,8.10%,94,838,811,4,70%,2
J.Nelson,OAK,130,31,114,37,5.70%,32,3.40%,88,739,771,3,72%,0
T.Williams,LAC,128,32,109,40,12.30%,24,8.60%,65,653,606,5,63%,2
K.Stills,MIA,127,33,105,41,12.60%,22,8.30%,64,553,596,6,58%,0
C.Hogan,NE,123,34,121,34,14.30%,20,13.80%,55,532,552,3,64%,0
J.Edelman,NE,122,35,124,33,1.70%,42,1.90%,108,850,870,6,69%,0
E.Sanders,DEN,113,36,114,36,2.00%,39,2.10%,99,877,797,4,72%,0
D.Baldwin,SEA,113,37,112,38,6.00%,31,5.90%,73,618,658,5,68%,0
D.J.Moore,CAR,109,38,126,32,4.10%,35,6.70%,82,788,688,2,67%,1
C.Godwin,TB,105,39,116,35,1.30%,43,2.80%,95,842,764,7,62%,4
C.Davis,TEN,104,40,90,43,-1.20%,49,-2.70%,112,891,891,4,58%,1
C.Beasley,DAL,100,41,128,31,2.10%,38,6.20%,87,672,700,3,75%,0
S.Shepard,NYG,97,42,111,39,-0.90%,47,0.80%,107,872,815,4,62%,0
D.Thomas,2TM,96,43,74,47,0.90%,46,-2.10%,89,677,715,5,66%,0
C.Sutton,DEN,95,44,87,44,1.30%,44,0.20%,84,704,693,4,50%,0
S.Roberts,OAK,86,45,68,48,4.70%,33,1.10%,64,494,532,2,70%,0
K.Bourne,SF,71,46,74,46,1.30%,45,1.90%,66,488,521,4,64%,0
A.Miller,CHI,71,47,87,45,3.90%,36,7.50%,54,423,455,7,61%,0
A.Robinson,CHI,62,48,103,42,-4.80%,52,0.40%,94,754,738,4,59%,1
J.Reynolds,LAR,62,49,52,51,1.90%,40,-0.40%,53,402,437,5,55%,0
C.Kirk,ARI,57,50,57,50,-1.80%,50,-1.80%,68,590,508,3,63%,0
C.Conley,KC,48,51,38,52,-1.00%,48,-3.30%,52,334,400,5,62%,2
Ta.Taylor,TEN,43,52,31,55,-2.70%,51,-5.50%,56,466,414,1,66%,1
A.Callaway,CLE,40,53,35,54,-6.30%,56,-7.10%,79,586,567,5,54%,1
C.Samuel,CAR,39,54,61,49,-5.40%,53,-1.20%,65,494,488,5,60%,0
