Player,Team,DYAR,RK,YAR,RK,DVOA,RK,VOA,PASSES,YARDS,Eyds,TD,Catch_Rate,FUM,DPI
G.Kittle,SF,207,1,180,2,15.10%,7,12.10%,136,"1,377","1,231",5,65%,0,Mar-38
T.Kelce,KC,196,2,206,1,11.50%,14,12.50%,150,"1,336","1,308",10,69%,2,16-Feb
O.J.Howard,TB,169,3,160,3,44.00%,1,41.30%,48,565,647,5,71%,0,0/0
M.Andrews,BAL,159,4,149,4,36.20%,2,33.50%,50,552,655,3,68%,0,Mar-42
J.Cook,OAK,146,5,143,5,13.80%,11,13.40%,101,896,899,6,67%,0,23-Feb
R.Gronkowski,NE,98,6,123,6,13.30%,12,18.60%,72,682,616,3,65%,1,23-Feb
J.James,PIT,96,7,104,8,27.30%,3,30.20%,39,423,443,2,77%,0,Jan-38
Z.Ertz,PHI,93,8,120,7,1.60%,23,4.20%,155,"1,166","1,078",8,74%,1,24-Feb
K.Rudolph,MIN,91,9,59,12,8.60%,15,2.90%,82,634,681,4,78%,0,10-Jan
B.Watson,NO,73,10,74,9,15.20%,6,15.50%,46,400,434,2,76%,0,22-Jan
E.Ebron,IND,68,11,51,16,2.00%,22,-0.40%,110,750,770,13,60%,0,0/0
B.Jarwin,DAL,68,12,69,10,24.00%,4,24.40%,36,307,332,3,75%,0,0/0
V.Davis,WAS,60,13,63,11,19.00%,5,20.40%,36,367,321,2,69%,0,0/0
G.Olsen,CAR,57,14,57,13,14.60%,9,14.50%,38,291,346,4,71%,0,4-Jan
A.Hooper,ATL,56,15,52,15,2.20%,21,1.50%,88,660,616,4,81%,0,4-Jan
T.Higbee,LAR,54,16,49,17,15.00%,8,13.00%,34,292,322,2,71%,1,0/0
V.McDonald,PIT,51,17,48,18,3.60%,20,2.90%,72,609,507,4,69%,2,0/0
C.Herndon,NYJ,50,18,57,14,6.30%,17,8.10%,56,502,422,4,70%,1,0/0
E.Engram,NYG,50,19,32,22,4.80%,19,0.50%,64,577,454,3,70%,0,10-Jan
R.Ellison,NYG,48,20,23,24,14.40%,10,3.30%,34,272,289,1,74%,0,0/0
D.Goedert,PHI,38,21,37,20,5.10%,18,4.80%,44,334,340,4,75%,0,13-Jan
J.Thomas,HOU,38,22,44,19,12.50%,13,15.90%,27,215,243,4,74%,0,0/0
I.Thomas,CAR,27,23,10,28,0.90%,24,-4.20%,49,333,335,2,73%,0,0/0
J.Akins,HOU,24,24,26,23,8.30%,16,9.20%,25,225,185,0,68%,0,0/0
T.Burton,CHI,24,25,36,21,-2.70%,27,-0.30%,76,569,489,6,71%,1,0/0
L.Kendricks,GB,12,26,10,29,-0.10%,25,-1.70%,25,170,173,1,76%,0,0/0
J.Smith,TEN,11,27,14,26,-1.80%,26,-0.20%,30,258,185,3,67%,1,0/0
J.Graham,GB,4,28,-18,37,-6.60%,30,-10.40%,89,636,490,2,62%,0,2-Jan
G.Everett,LAR,2,29,-19,38,-6.60%,29,-13.20%,50,319,280,3,66%,0,0/0
N.Vannett,SEA,2,30,-6,32,-6.50%,28,-9.10%,43,269,258,3,67%,1,10-Jan
C.Brate,TB,2,31,-7,33,-6.80%,31,-9.30%,49,289,277,6,61%,1,0/0
A.Gates,LAC,0,32,10,27,-7.40%,32,-3.60%,45,333,241,2,62%,1,0/0
J.Doyle,IND,0,33,15,25,-7.40%,33,-0.60%,33,245,188,2,79%,1,0/0
M.LaCosse,DEN,-1,34,-13,35,-7.60%,34,-12.70%,37,250,196,1,65%,0,0/0
V.Green,LAC,-2,35,8,30,-8.20%,35,-2.90%,27,210,153,1,70%,0,0/0
G.Swaim,DAL,-9,36,-15,36,-11.60%,37,-14.20%,32,242,161,1,81%,0,0/0
D.Harris,KC,-14,37,-4,31,-15.60%,39,-9.70%,25,164,110,3,48%,0,0/0
J.Leggett,NYJ,-16,38,-25,39,-17.40%,40,-23.00%,25,114,99,1,56%,0,0/0
C.J.Uzomah,CIN,-18,39,-9,34,-11.30%,36,-9.30%,65,439,329,3,66%,0,10-Jan
R.Griffin,HOU,-18,40,-30,40,-13.50%,38,-17.60%,43,305,206,0,56%,0,Jan-00
J.Croom,BUF,-27,41,-41,42,-19.50%,42,-25.70%,35,259,126,1,63%,2,0/0
J.O'Shaughnessy,JAX,-49,42,-37,41,-28.90%,45,-23.80%,38,214,84,0,63%,0,0/0
N.Boyle,BAL,-50,43,-62,47,-26.60%,44,-30.90%,37,213,110,0,62%,0,0/0
D.Njoku,CLE,-63,44,-45,44,-18.10%,41,-15.00%,88,639,352,4,64%,0,5-Jan
M.Gesicki,MIA,-70,45,-56,45,-37.30%,47,-31.20%,32,202,44,0,69%,1,25-Jan
J.Heuerman,DEN,-70,46,-44,43,-29.70%,46,-21.30%,48,281,110,2,65%,0,0/0
C.Clay,BUF,-70,47,-65,48,-38.30%,48,-36.10%,36,197,37,0,58%,1,0/0
J.Reed,WAS,-80,48,-59,46,-22.20%,43,-18.20%,84,554,277,2,64%,1,0/0
R.Seals-Jones,ARI,-158,49,-143,49,-43.70%,49,-40.30%,69,343,21,1,49%,0,0/0
